episode,collision,success,total_reward,episode_duration_s,steps,avg_speed_ms,lane_changes,speed_compliance,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate
21,True,False,6.838043124580311,2.7451231479644775,9,0.30331156,6,1.0,0.10711189,0.31180274,-1,-1,0.0
22,True,False,3.9810490975900734,1.5433037281036377,5,0.35030663,2,1.0,0.16748735,0.36431947,-1,-1,0.0
23,True,False,7.136393908244347,3.102121114730835,10,0.28284743,2,1.0,0.11195254,0.36431947,-1,-1,0.0
24,True,False,10.723884747460083,4.009931564331055,13,0.3260078,6,1.0,0.08307661,0.36431947,-1,-1,0.0
25,True,False,14.930466625594732,6.217540740966797,20,0.27720818,10,1.0,0.058614064,0.26068053,-1,-1,0.0
26,True,False,3.3327704576054034,1.4988245964050293,5,0.29961324,3,1.0,0.17934227,0.3125,-1,-1,0.0
27,False,False,28.067902327943933,12.262360334396362,40,0.25921303,17,1.0,0.025302205,0.36293277,-1,-1,0.0
28,True,False,1.665179213024727,0.9171192646026611,3,0.28651682,2,1.0,0.2338516,0.31319726,-1,-1,0.0
29,True,False,12.12345880081798,5.154417037963867,17,0.2827964,8,1.0,0.07561292,0.31319726,-1,-1,0.0
30,True,False,16.048172495049435,6.92944598197937,23,0.26938564,5,1.0,0.06657826,0.4072836,-1,-1,0.0
31,True,False,1.00208717438217,0.6160802841186523,2,0.31298903,1,1.0,0.41564977,0.46698007,-1,-1,0.0
32,False,False,33.69982668017905,12.110854625701904,40,0.30454144,15,1.0,0.040488504,0.31180274,-1,-1,0.0
33,True,False,2.5105482353831814,1.2033131122589111,4,0.29700705,2,1.0,0.22356234,0.3125,-1,-1,0.0
34,True,False,20.371389793726266,7.760068655014038,26,0.2946892,7,1.0,0.04298727,0.31180274,-1,-1,0.0
35,True,False,25.260966273144042,10.381688356399536,34,0.27864254,16,1.0,0.037048727,0.26953587,-1,-1,0.0
36,True,False,2.377071871950548,1.1989679336547852,4,0.2811672,1,1.0,0.15794587,0.26953587,-1,-1,0.0
37,True,False,2.4690561621043727,1.1881167888641357,4,0.25971782,2,1.0,0.2381756,0.36293277,-1,-1,0.0
38,True,False,8.641880345948861,3.6988635063171387,12,0.2758369,6,1.0,0.05406775,0.2704115,-1,-1,0.0
39,True,False,13.344593828941193,5.398190021514893,18,0.27580082,6,1.0,0.06651736,0.26953587,-1,-1,0.0
40,True,False,3.3510762199148103,1.4875636100769043,5,0.28262326,4,1.0,0.15445533,0.31193057,-1,-1,0.0
41,True,False,13.300522860100534,5.699409484863281,18,0.2966669,9,1.0,0.060118243,0.3125,-1,-1,0.0
42,True,False,7.493470734214949,3.701704740524292,11,0.2763165,3,1.0,0.10514157,0.3125,-1,-1,0.0
43,True,False,4.262426019451938,1.7817301750183105,6,0.29190922,4,1.0,0.12473292,0.31319726,-1,-1,0.0
44,True,False,1.208682067182694,0.5949912071228027,2,0.35620135,0,1.0,0.37243742,0.3805554,-1,-1,0.0
45,True,False,7.078028349699615,2.675750970840454,9,0.31900787,7,1.0,0.10093221,0.31180274,-1,-1,0.0
46,True,False,2.8621075731004675,1.186474084854126,4,0.3100818,1,1.0,0.21788575,0.36431947,-1,-1,0.0
47,True,False,19.57437405463792,8.286753416061401,27,0.26880318,14,1.0,0.04809552,0.26953587,-1,-1,0.0
48,True,False,29.612390097847413,11.209157466888428,37,0.29705274,15,1.0,0.044141326,0.3125,-1,-1,0.0
49,False,False,29.645711141624826,13.211103200912476,40,0.27015644,15,1.0,0.03399065,0.26953587,-1,-1,0.0
50,True,False,27.730125456472184,10.85543179512024,36,0.2933239,10,1.0,0.051263887,0.2704115,-1,-1,0.0
