episode,collision,success,total_reward,episode_duration_s,steps,avg_speed_ms,lane_changes,speed_compliance,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate
21,False,False,34.66666666666668,11.935335874557495,40,0.3125,0,1.0,0.015625,0.3125,-1,-1,0.0
22,True,False,3.9999999999999996,1.7967538833618164,6,0.2973044,0,1.0,0.119362205,0.3125,-1,-1,0.0
23,True,False,2.714074074074074,1.1724181175231934,4,0.3024305,0,1.0,0.16631944,0.3125,-1,-1,0.0
24,True,False,11.247407407407408,4.357526063919067,15,0.30981478,0,1.0,0.044351853,0.3125,-1,-1,0.0
25,True,False,14.000000000000004,5.454031229019165,18,0.30831307,0,1.0,0.038909122,0.3125,-1,-1,0.0
26,True,False,2.625185185185185,1.2561612129211426,4,0.3024305,0,1.0,0.16631944,0.3125,-1,-1,0.0
27,True,False,8.253135802469135,3.4759366512298584,11,0.30718854,0,1.0,0.062129628,0.3125,-1,-1,0.0
28,True,False,7.422222222222222,3.450922727584839,10,0.29924467,0,1.0,0.07575531,0.3125,-1,-1,0.0
29,True,False,23.20000000000001,9.494738817214966,30,0.306635,0,1.0,0.026698338,0.3125,-1,-1,0.0
30,True,False,6.3999999999999995,2.6407511234283447,9,0.30412617,0,1.0,0.077818245,0.3125,-1,-1,0.0
31,True,False,17.400000000000006,6.856476068496704,21,0.30745575,0,1.0,0.034806114,0.3125,-1,-1,0.0
32,True,False,5.777777777777778,2.4742932319641113,8,0.30307946,0,1.0,0.08754553,0.3125,-1,-1,0.0
33,True,False,7.866666666666669,3.1249396800994873,10,0.298045,0,1.0,0.07695496,0.3125,-1,-1,0.0
34,True,False,15.755555555555562,5.842596530914307,19,0.31140348,0,1.0,0.03399123,0.3125,-1,-1,0.0
35,True,False,28.755555555555567,10.896324157714844,35,0.30908,0,1.0,0.021277139,0.3125,-1,-1,0.0
36,True,False,7.51111111111111,2.9948160648345947,10,0.31041664,0,1.0,0.06458334,0.3125,-1,-1,0.0
37,True,False,12.800000000000002,5.195865631103516,17,0.30111468,0,1.0,0.04814999,0.3125,-1,-1,0.0
38,True,False,3.422222222222222,1.4907569885253906,5,0.27730992,0,1.0,0.16019002,0.3125,-1,-1,0.0
39,True,False,7.199999999999999,3.14146089553833,10,0.298045,0,1.0,0.07695496,0.3125,-1,-1,0.0
40,True,False,17.288888888888895,6.995249509811401,22,0.30705908,0,1.0,0.03384999,0.3125,-1,-1,0.0
41,True,False,15.200000000000005,6.384886980056763,20,0.30720356,0,1.0,0.036546417,0.3125,-1,-1,0.0
42,True,False,4.533333333333334,1.93571138381958,6,0.31249994,0,1.0,0.104166664,0.3125,-1,-1,0.0
43,True,False,8.888888888888888,3.9676103591918945,12,0.31076387,0,1.0,0.053819448,0.3125,-1,-1,0.0
44,True,False,6.3999999999999995,2.922950267791748,9,0.30236962,0,1.0,0.0795748,0.3125,-1,-1,0.0
45,True,False,9.88888888888889,4.157585859298706,13,0.3032923,0,1.0,0.0572846,0.3125,-1,-1,0.0
46,True,False,25.511111111111124,9.89312195777893,32,0.30918974,0,1.0,0.022841511,0.3125,-1,-1,0.0
47,True,False,8.488888888888887,3.4204628467559814,11,0.30564868,0,1.0,0.06366947,0.3125,-1,-1,0.0
48,False,False,32.000000000000014,12.311400651931763,40,0.3125,0,1.0,0.015625,0.3125,-1,-1,0.0
49,True,False,21.73333333333334,10.010944604873657,28,0.31249997,0,1.0,0.02232143,0.3125,-1,-1,0.0
50,True,False,28.800000000000015,12.873844146728516,37,0.3080082,0,1.0,0.021383692,0.3125,-1,-1,0.0
